frame,charge_level
1,0.062500
2,0.062500
3,0.062500
4,0.062500
5,0.062500
6,0.062500
7,0.062500
8,0.062500
9,0.062500
10,0.062500
11,0.062500
12,0.062500
13,0.062500
14,0.062500
15,0.062500
16,0.062500
17,0.062500
18,0.062500
19,0.062500
20,0.062500
21,0.062500
22,0.062500
23,0.062500
24,0.062500
25,0.062500
26,0.062500
27,0.062500
28,0.062500
29,0.062500
30,0.062500
31,0.062500
32,0.062500
33,0.062500
34,0.062500
35,0.062500
36,0.062500
37,0.062500
38,0.062500
39,0.062500
40,0.062500
41,0.062500
42,0.062500
43,0.062500
44,0.062500
45,0.062500
46,0.062500
47,0.062500
48,0.062500
49,0.062500
50,0.062500
51,0.062500
52,0.062500
53,0.062500
54,0.062500
55,0.062500
56,0.062500
57,0.062500
58,0.062500
59,0.062500
60,0.062500
61,0.062500
62,0.062500
63,0.062500
64,0.062500
65,0.062500
66,0.062500
67,0.062500
68,0.062500
69,0.062500
70,0.062500
71,0.062500
72,0.062500
73,0.062500
74,0.062500
75,0.062500
76,0.062500
77,0.062500
78,0.062500
79,0.062500
80,0.062500
81,0.062500
82,0.062500
83,0.062500
84,0.062500
85,0.062500
86,0.062500
87,0.062500
88,0.062500
89,0.062500
90,0.062500
91,0.062500
92,0.062500
93,0.062500
94,0.062500
95,0.062500
96,0.062500
97,0.062500
98,0.062500
99,0.062500
100,0.062500
101,0.062500
102,0.062500
103,0.062500
104,0.062500
105,0.062500
106,0.062500
107,0.062500
108,0.062500
109,0.062500
110,0.062500
111,0.062500
112,0.062500
113,0.062500
114,0.062500
115,0.062500
116,0.062500
117,0.062500
118,0.062500
119,0.062500
120,0.062500
121,0.062500
122,0.062500
123,0.062500
124,0.062500
125,0.062500
126,0.062500
127,0.062500
128,0.062500
129,0.062500
130,0.062500
131,0.062500
132,0.062500
133,0.062500
134,0.062500
135,0.062500
136,0.062500
137,0.062500
138,0.062500
139,0.062500
140,0.062500
141,0.062500
142,0.062500
143,0.062500
144,0.062500
145,0.062500
146,0.062500
147,0.062500
148,0.062500
149,0.062500
150,0.062500
151,0.062500
152,0.062500
153,0.062500
154,0.062500
155,0.062500
156,0.062500
157,0.062500
158,0.062500
159,0.062500
160,0.062500
161,0.062500
162,0.062500
163,0.062500
164,0.062500
165,0.062500
166,0.062500
167,0.062500
168,0.062500
169,0.062500
170,0.062500
171,0.062500
172,0.062500
173,0.062500
174,0.062500
175,0.062500
176,0.062500
177,0.062500
178,0.062500
179,0.062500
180,0.062500
181,0.062500
182,0.062500
183,0.062500
184,0.062500
185,0.062500
186,0.062500
187,0.062500
188,0.062500
189,0.062500
190,0.062500
191,0.062500
192,0.062500
193,0.062500
194,0.062500
195,0.062500
196,0.062500
197,0.062500
198,0.062500
199,0.062500
200,0.062500
201,0.062500
202,0.062500
203,0.062500
204,0.062500
205,0.062500
206,0.062500
207,0.062500
208,0.062500
209,0.062500
210,0.062500
211,0.062500
212,0.062500
213,0.062500
214,0.062500
215,0.062500
216,0.062500
217,0.062500
218,0.062500
219,0.062500
220,0.062500
221,0.062500
222,0.062500
223,0.062500
224,0.062500
225,0.062500
226,0.062500
227,0.062500
228,0.062500
229,0.062500
230,0.062500
231,0.062500
232,0.062500
233,0.062500
234,0.062500
235,0.062500
236,0.062500
237,0.062500
238,0.062500
239,0.062500
240,0.062500
241,0.062500
242,0.062500
243,0.062500
244,0.062500
245,0.062500
246,0.062500
247,0.062500
248,0.062500
249,0.062500
250,0.062500
251,0.062500
252,0.062500
253,0.062500
254,0.062500
255,0.062500
256,0.062500
257,0.062500
258,0.062500
259,0.062500
260,0.062500
261,0.062500
262,0.062500
263,0.062500
264,0.062500
265,0.062500
266,0.062500
267,0.062500
268,0.062500
269,0.062500
270,0.062500
271,0.062500
272,0.062500
273,0.062500
274,0.062500
275,0.062500
276,0.062500
277,0.062500
278,0.062500
279,0.062500
280,0.062500
281,0.062500
282,0.062500
283,0.062500
284,0.062500
285,0.062500
286,0.062500
287,0.062500
288,0.062500
289,0.062500
290,0.062500
291,0.062500
292,0.062500
293,0.062500
294,0.062500
295,0.062500
296,0.062500
297,0.062500
298,0.062500
299,0.062500
300,0.062500
301,0.062500
302,0.062500
303,0.062500
304,0.062500
305,0.062500
306,0.062500
307,0.062500
308,0.062500
309,0.062500
310,0.062500
311,0.062500
312,0.062500
313,0.062500
314,0.062500
315,0.062500
316,0.062500
317,0.062500
318,0.062500
319,0.062500
320,0.062500
321,0.062500
322,0.062500
323,0.062500
324,0.062500
325,0.062500
326,0.062500
327,0.062500
328,0.062500
329,0.062500
330,0.062500
331,0.062500
332,0.062500
333,0.062500
334,0.062500
335,0.062500
336,0.062500
337,0.062500
338,0.062500
339,0.062500
340,0.062500
341,0.062500
342,0.062500
343,0.062500
344,0.062500
345,0.062500
346,0.062500
347,0.062500
348,0.062500
349,0.062500
350,0.062500
351,0.062500
352,0.062500
353,0.062500
354,0.062500
355,0.062500
356,0.062500
357,0.062500
358,0.062500
359,0.062500
360,0.533816
361,0.533816
362,0.533816
363,0.533816
364,0.533816
365,0.533816
366,0.533816
367,0.533816
368,0.533816
369,0.533816
370,0.533816
371,0.533816
372,0.533816
373,0.533816
374,0.533816
375,0.533816
376,0.533816
377,0.533816
378,0.533816
379,0.533816
380,0.533816
381,0.533816
382,0.533816
383,0.533816
384,0.533816
385,0.533816
386,0.533816
387,0.533816
388,0.533816
389,0.533816
390,0.533816
391,0.533816
392,0.533816
393,0.533816
394,0.533816
395,0.533816
396,0.533816
397,0.533816
398,0.533816
399,0.533816
400,0.533816
401,0.533816
402,0.533816
403,0.533816
404,0.533816
405,0.533816
406,0.533816
407,0.533816
408,0.533816
409,0.533816
410,0.533816
411,0.533816
412,0.533816
413,0.533816
414,0.533816
415,0.533816
416,0.533816
417,0.533816
418,0.533816
419,0.533816
420,0.624193
421,0.624193
422,0.624193
423,0.624193
424,0.624193
425,0.624193
426,0.624193
427,0.624193
428,0.624193
429,0.624193
430,0.624193
431,0.624193
432,0.624193
433,0.624193
434,0.624193
435,0.624193
436,0.624193
437,0.624193
438,0.624193
439,0.624193
440,0.624193
441,0.624193
442,0.624193
443,0.624193
444,0.624193
445,0.624193
446,0.624193
447,0.624193
448,0.624193
449,0.624193
450,0.624193
451,0.624193
452,0.624193
453,0.624193
454,0.624193
455,0.624193
456,0.624193
457,0.624193
458,0.624193
459,0.624193
460,0.624193
461,0.624193
462,0.624193
463,0.624193
464,0.624193
465,0.624193
466,0.624193
467,0.624193
468,0.624193
469,0.624193
470,0.624193
471,0.624193
472,0.624193
473,0.624193
474,0.624193
475,0.624193
476,0.624193
477,0.624193
478,0.624193
479,0.624193
480,0.707429
481,0.707429
482,0.707429
483,0.707429
484,0.707429
485,0.707429
486,0.707429
487,0.707429
488,0.707429
489,0.707429
490,0.707429
491,0.707429
492,0.707429
493,0.707429
494,0.707429
495,0.707429
496,0.707429
497,0.707429
498,0.707429
499,0.707429
500,0.707429
501,0.707429
502,0.707429
503,0.707429
504,0.707429
505,0.707429
506,0.707429
507,0.707429
508,0.707429
509,0.707429
510,0.707429
511,0.707429
512,0.707429
513,0.707429
514,0.707429
515,0.707429
516,0.707429
517,0.707429
518,0.707429
519,0.707429
520,0.707429
521,0.707429
522,0.707429
523,0.707429
524,0.707429
525,0.707429
526,0.707429
527,0.707429
528,0.707429
529,0.707429
530,0.707429
531,0.707429
532,0.707429
533,0.707429
534,0.707429
535,0.707429
536,0.707429
537,0.707429
538,0.707429
539,0.707429
540,0.827591
541,0.827591
542,0.827591
543,0.827591
544,0.827591
545,0.827591
546,0.827591
547,0.827591
548,0.827591
549,0.827591
550,0.827591
551,0.827591
552,0.827591
553,0.827591
554,0.827591
555,0.827591
556,0.827591
557,0.827591
558,0.827591
559,0.827591
560,0.827591
561,0.827591
562,0.827591
563,0.827591
564,0.827591
565,0.827591
566,0.827591
567,0.827591
568,0.827591
569,0.827591
570,0.827591
571,0.827591
572,0.827591
573,0.827591
574,0.827591
575,0.827591
576,0.827591
577,0.827591
578,0.827591
579,0.827591
580,0.827591
581,0.827591
582,0.827591
583,0.827591
584,0.827591
585,0.827591
586,0.827591
587,0.827591
588,0.827591
589,0.827591
590,0.827591
591,0.827591
592,0.827591
593,0.827591
594,0.827591
595,0.827591
596,0.827591
597,0.827591
598,0.827591
599,0.827591
600,0.867743
601,0.867743
602,0.867743
603,0.867743
604,0.867743
605,0.867743
606,0.867743
607,0.867743
608,0.867743
609,0.867743
610,0.867743
611,0.867743
612,0.867743
613,0.867743
614,0.867743
615,0.867743
616,0.867743
617,0.867743
618,0.867743
619,0.867743
620,0.867743
621,0.867743
622,0.867743
623,0.867743
624,0.867743
625,0.867743
626,0.867743
627,0.867743
628,0.867743
629,0.867743
630,0.867743
631,0.867743
632,0.867743
633,0.867743
634,0.867743
635,0.867743
636,0.867743
637,0.867743
638,0.867743
639,0.867743
640,0.867743
641,0.867743
642,0.867743
643,0.867743
644,0.867743
645,0.867743
646,0.867743
647,0.867743
648,0.867743
649,0.867743
650,0.867743
651,0.867743
652,0.867743
653,0.867743
654,0.867743
655,0.867743
656,0.867743
657,0.867743
658,0.867743
659,0.867743
660,1.022681
661,1.022681
